date,value
2020-08-15,38.0
2020-08-16,39.0
2020-08-17,46.0
2020-08-18,56.0
2020-08-19,58.0
2020-08-20,45.0
2020-08-21,49.0
2020-08-22,25.0
2020-08-23,44.0
2020-08-24,41.0
2020-08-25,60.0
2020-08-26,52.0
2020-08-27,69.0
2020-08-28,44.0
2020-08-29,52.0
2020-08-30,38.0
2020-08-31,52.0
2020-09-01,58.0
2020-09-02,79.0
2020-09-03,69.0
2020-09-04,67.0
2020-09-05,94.0
2020-09-06,85.0
2020-09-07,84.0
2020-09-08,99.0
2020-09-09,136.0
2020-09-10,143.0
2020-09-11,135.0
2020-09-12,143.0
2020-09-13,153.0
2020-09-14,172.0
2020-09-15,194.0
2020-09-16,183.0
2020-09-17,199.0
2020-09-18,205.0
2020-09-19,204.0
2020-09-20,237.0
2020-09-21,275.0
2020-09-22,268.0
2020-09-23,314.0
2020-09-24,288.0
2020-09-25,274.0
2020-09-26,245.0
2020-09-27,241.0
2020-09-28,308.0
2020-09-29,310.0
2020-09-30,328.0
2020-10-01,368.0
2020-10-02,371.0
2020-10-03,386.0
2020-10-04,478.0
2020-10-05,472.0
2020-10-06,524.0
2020-10-07,491.0
2020-10-08,513.0
2020-10-09,544.0
2020-10-10,515.0
2020-10-11,628.0
2020-10-12,664.0
2020-10-13,764.0
2020-10-14,706.0
2020-10-15,792.0
2020-10-16,632.0
2020-10-17,785.0
2020-10-18,870.0
2020-10-19,861.0
2020-10-20,925.0
2020-10-21,997.0
2020-10-22,987.0
2020-10-23,997.0
2020-10-24,990.0
2020-10-25,1186.0
2020-10-26,1279.0
2020-10-27,1190.0
2020-10-28,1239.0
2020-10-29,1345.0
2020-10-30,1109.0
2020-10-31,1240.0
2020-11-01,1280.0
2020-11-02,1331.0
2020-11-03,1246.0
2020-11-04,1382.0
2020-11-05,1346.0
2020-11-06,1182.0
2020-11-07,1319.0
2020-11-08,1488.0
2020-11-09,1551.0
2020-11-10,1592.0
2020-11-11,1711.0
2020-11-12,1666.0
2020-11-13,1433.0
2020-11-14,1388.0
2020-11-15,1467.0
2020-11-16,1560.0
2020-11-17,1491.0
2020-11-18,1571.0
2020-11-19,1484.0
2020-11-20,1316.0
2020-11-21,1255.0
2020-11-22,1333.0
2020-11-23,1385.0
2020-11-24,1277.0
2020-11-25,1415.0
2020-11-26,1198.0
2020-11-27,1055.0
2020-11-28,1065.0
2020-11-29,1215.0
2020-11-30,1216.0
2020-12-01,1271.0
2020-12-02,1262.0
2020-12-03,1337.0
2020-12-04,1248.0
2020-12-05,1186.0
2020-12-06,1311.0
2020-12-07,1466.0
2020-12-08,1528.0
2020-12-09,1550.0
2020-12-10,1524.0
2020-12-11,1450.0
2020-12-12,1587.0
2020-12-13,1581.0
2020-12-14,1746.0
2020-12-15,1730.0
2020-12-16,1796.0
2020-12-17,1873.0
2020-12-18,1672.0
2020-12-19,1812.0
2020-12-20,1976.0
2020-12-21,2115.0
2020-12-22,2203.0
2020-12-23,1980.0
2020-12-24,1795.0
2020-12-25,1952.0
2020-12-26,2298.0
2020-12-27,2572.0
2020-12-28,2795.0
2020-12-29,2886.0
2020-12-30,2861.0
